where,slot,value,grade,direction,baseline,evidence,why_undetermined
card:matrix,SY0,250.0,KNOB,내려간다,현재 카드값 250 에서의 중심차분,기지 피크변형률 -1.72; 기지 잔류응력 -0.452,
card:matrix,HISO,100000.0,KNOB,내려간다,현재 카드값 100000 에서의 중심차분,기지 피크변형률 -0.412; 기지 잔류응력 -0.244,
card:matrix,dmax_t,0.9,KNOB,미정,자코비안 관측량 집합 밖 — 기준선 자체가 없다,LIVE 행 없음,자코비안 관측량 집합에 들어 있지 않다. 손상 상한의 방향은 damage_ceiling.py 가 판정하며 그 판정은 아직 「판정 불가」다
card:matrix,eta,0.05,KNOB,미정,자코비안 관측량 집합 밖 — 기준선 자체가 없다,LIVE 행 없음,같은 이유로 관측량 집합 밖이다. 점성 항의 몫은 reheat_saturation.py 가 16 % 로 재었으나 그것은 재가열 포화의 분해이지 카드 슬롯의 방향이 아니다
card:yarn,X_PO,700.0,KNOB,미정,현재 카드값 700 에서의 중심차분,LIVE 행 없음,"13개 관측량 전부 NEAR_NULL 또는 상 간 구조적 0 이다. Ge Eq.16-17 의 보조변수라 rF 를 통해서만 들어가며, rF 는 이 카드에서 유도량이다"
card:yarn,K1,8000.0,KNOB,내려간다,현재 카드값 8000 에서의 중심차분,얀 종인장 80 % 잔존 변형률 -0.829; 얀 종인장 소산일(d=0.9) -0.207,
card:yarn,Yt,80.0,GAP,올라간다,현재 카드값 80 에서의 중심차분,얀 횡인장 소산일(d=0.5) +2.3; 횡인장 개시(1축) +1; 횡인장 개시(2축) +1.19,
card:yarn,Yc,350.0,GAP,올라간다,현재 카드값 350 에서의 중심차분,횡압축 개시 +1,
card:yarn,S12,120.0,GAP,올라간다,현재 카드값 120 에서의 중심차분,전단12 개시 +1,
card:yarn,S23,100.0,GAP,양방향,현재 카드값 100 에서의 중심차분,얀 횡인장 소산일(d=0.5) -0.303; 횡인장 개시(2축) -0.19; 전단23 개시 +1,
card:yarn,Gtt,0.0,GAP,미정,현재 카드값 0 에서의 중심차분,LIVE 행 없음,"자코비안의 기준 카드(V2_0 드라이버)에서는 0 이라 균열대가 꺼져 있고 p=0 의 차분은 구조적으로 0 이다. 단 이것은 그 기준 카드 이야기다 — 실행 덱은 M6(0812)부터 Shi refs/[31] 0.107 N/mm 을 싣고 돈다 (yarn_fracture_energy §6, 등급 DEV). 자코비안을 실행 카드에서 다시 재면 이 행은 미정에서 벗어난다"
card:yarn,Gtc,0.0,GAP,미정,현재 카드값 0 에서의 중심차분,LIVE 행 없음,"기준 카드에서 p=0 이고, 실행 덱도 M7 부터 도로 0 이다(M6 이 0.107 로 켰다가 메시 부적법 + census 모드 24 부피 0.6 % 이하로 철회, yarn_fracture_energy RULING 2). 값 자체가 문헌에 없다(한계 13)"
card:macro,32-35 (A=2) @23C,0.0,KNOB,미정,"선언된 고정 A=2, 곧 |Gf_inel| = g0*le — 앞으로의 측정에 견준 방향이다",g0*le 0.2000 vs 피크 이후 0.0000,피크 이후 소산이 0 이라 부등호를 세울 수 없다
card:macro,32-35 (A=2) @500C,0.0,KNOB,올라간다,"선언된 고정 A=2, 곧 |Gf_inel| = g0*le — 앞으로의 측정에 견준 방향이다",g0*le 0.1870 vs 피크 이후 0.5165,
card:macro,32-35 (A=2) @1000C,0.0,KNOB,올라간다,"선언된 고정 A=2, 곧 |Gf_inel| = g0*le — 앞으로의 측정에 견준 방향이다",g0*le 0.2788 vs 피크 이후 2.2632,
